name,position,link
Melody of Guidance (Title) - Touhou Lost Word Music Extended,1,https://www.youtube.com/watch?v=YwnIVB1mXjE
A Porch in Sunbeams Filtered Through Trees (Main Menu) - Touhou Lost Word Music Extended,2,https://www.youtube.com/watch?v=ehAbqvlZ_ro
You Belong Here - Touhou Lost Word Music Extended,3,https://www.youtube.com/watch?v=MwDoW3CIYq4
Revolving Secret Garden - Touhou Lost Word Music Extended,4,https://www.youtube.com/watch?v=u-PPkMDwshI
HORAKHTY - Touhou Lost Word Music Extended,5,https://www.youtube.com/watch?v=Qitm43pUqJs
Unbordered - Touhou Lost Word Music Extended,6,https://www.youtube.com/watch?v=gj1ThAaUS8Q
Passing Through the Dendera Fields at Night - Touhou Lost Word Music Extended,7,https://www.youtube.com/watch?v=4c2IgYmfcd8
Celestial Wizardry - Touhou Lost Word Music Extended,8,https://www.youtube.com/watch?v=Pq-gsBVQoBc
HADES - Touhou Lost Word Music Extended,9,https://www.youtube.com/watch?v=neD4RjkH1gY
Beyond The Stars - Touhou Lost Word Music Extended,10,https://www.youtube.com/watch?v=5MwF1xMCoSA
To the Gap in the Evening - Touhou Lost Word Music Extended,11,https://www.youtube.com/watch?v=tvOSk-XrEXk
Epilogue - Touhou Lost Word Music Extended,12,https://www.youtube.com/watch?v=bxd0J2WODfQ
Color of the Evening Sky - Touhou Lost Word Music Extended,13,https://www.youtube.com/watch?v=F7e30bFmqc0
Longing of Forest - Touhou Lost Word Music Extended,14,https://www.youtube.com/watch?v=irrXn3_W3I8
Torso - Touhou Lost Word Music Extended,15,https://www.youtube.com/watch?v=PrpwBcZQlj0
16step TR Sequencer - Touhou Lost Word Music Extended,16,https://www.youtube.com/watch?v=-uK8yL1fgQs
Pilgrim - Touhou Lost Word Music Extended,17,https://www.youtube.com/watch?v=AP_qa9an5Bs
Led On by a Cow to Visit Zenkou Temple (MRM Remix) - Touhou Lost Word Music Extended,18,https://www.youtube.com/watch?v=MRKIvnGgfZg
Fly Up Higher! - Touhou Lost Word Music Extended,19,https://www.youtube.com/watch?v=tIs21o42E94
Voyage 1969 - Touhou Lost Word Music Extended,20,https://www.youtube.com/watch?v=r1Ya03IYnog
Frozen City - Touhou Lost Word Music Extended,21,https://www.youtube.com/watch?v=rnPejxOrc4s
Kudryavka - Touhou Lost Word Music Extended,22,https://www.youtube.com/watch?v=-VOlKdrXhKE
Tree of Life - Touhou Lost Word Music Extended,23,https://www.youtube.com/watch?v=oD01mszWpp8
Sleep Embraced by Dreams - Touhou Lost Word Music Extended,24,https://www.youtube.com/watch?v=ExBuQXfDWMc
Easy Vacation - Touhou Lost Word Music Extended,25,https://www.youtube.com/watch?v=rctgh7zB8fs
Kinoko Takenoko - Touhou Lost Word Music Extended,26,https://www.youtube.com/watch?v=G87Mlmf1VVU
Until The Moment You Die - Touhou Lost Word Music Extended,27,https://www.youtube.com/watch?v=v22reXcy-hM
Bad Apple!! - Touhou Lost Word Music Extended,28,https://www.youtube.com/watch?v=BSXLVpA-oC4
"With a Hat, Necktie, and White Shirt - Touhou Lost Word Music Extended",29,https://www.youtube.com/watch?v=lc1GSTRASWs
Two Wings (Karaoke ver.) - Touhou Lost Word Music Extended,30,https://www.youtube.com/watch?v=KuOYrykXOD0
Grimoire of RED Hell - Touhou Lost Word Music Extended,31,https://www.youtube.com/watch?v=NaJZxwFTogA
